Q9VLF2	GO:0030015,GO:0005634,GO:0000932
A1Z6W6	
A1Z7N4	
Q8IMS8	GO:0005654,GO:0005634,GO:1990904
Q9V6B9	GO:0005643,GO:0044613
Q9VI89	
Q9VJU5	GO:0016021,GO:0005886
Q9VRS7	
Q9VRX7	GO:0005730,GO:0005634
Q9VRZ3	GO:0005615
Q9VUK7	GO:0005813,GO:0032154
Q9XZ29	GO:0005818,GO:0005737,GO:0005871,GO:0005874,GO:0005875,GO:0030496,GO:0005634,GO:0005819,GO:0051233
A1Z6W9	GO:0016021
Q9VMD4	GO:0000151
Q9VX37	GO:0000795
A1Z6Y3	GO:0016021
Q9VME1	
A1Z6Z7	GO:0005654,GO:0005634
Q9V9V9	
Q9VCQ7	GO:0005829
A1Z6Z8	GO:0016459,GO:0031475,GO:0043025,GO:0016028
A1Z7C1	GO:0005712,GO:0032300,GO:0032389,GO:0000795
O16158	GO:0005783
P49258	GO:0005737,GO:0070865,GO:0031476,GO:0005634
P54357	GO:0005829,GO:0016459,GO:0016460,GO:0031475,GO:0031476,GO:0031477
Q4V5R2	GO:0005576
Q8SYK4	
Q9U9Q2	GO:0071011
Q9V751	GO:0005576,GO:0005615
Q9VF73	GO:0005737,GO:0005634
Q9VFI7	
Q9VG03	
Q9VJD4	GO:0005829,GO:0016020,GO:0072380
Q9VLS5	GO:0005769,GO:0005768
Q9VMK5	GO:0042600,GO:0035805
Q9VQV0	
Q9VUB1	
Q9VUS1	GO:0016021
Q9VWS1	
Q9W4A0	GO:0005769,GO:0005783,GO:0005794,GO:0043025,GO:0031982
Q9W4M8	GO:0005737,GO:0005874,GO:0005819
Q9W513	GO:0016021
Q9XZ06	GO:0031965,GO:0005643,GO:0044615
Q8IQI1	
Q8SWT7	GO:0005887,GO:0032589
A1Z714	GO:0005737,GO:0002102
A8Y5B0	
Q7JYY0	GO:0022627
Q9VKC5	GO:0005634
Q9VLK3	
Q9VSN7	GO:0005777
A1Z722	GO:0016021
Q0KIC3	
Q24523	GO:0005737,GO:0005829,GO:0005634
Q9V3V3	GO:0045177,GO:0005938,GO:0005856
Q9VC63	GO:0016021,GO:0016020
Q9VGL0	GO:0044613,GO:0044615
Q9VK34	GO:0005737,GO:0005719,GO:0005720,GO:0005637,GO:0005654,GO:0005634,GO:0033553
Q9VK58	
Q9VXR9	
Q9VYG2	GO:0035060,GO:0071565,GO:0071564,GO:0005719,GO:0005634,GO:0016586,GO:0016514
X2JDS9	GO:0005634
A1Z734	GO:0005927
Q9W3D5	GO:0005737,GO:0000790
A1Z739	GO:0016021
P18502	GO:0005929,GO:0005737,GO:0030139,GO:0005887,GO:0048471,GO:0005886
A1Z743	GO:0005829,GO:0005654
P39572	GO:0005634
P54733	GO:0005813,GO:0000307,GO:0005737,GO:0005634
P80455	GO:0022627
P84029	GO:0005758,GO:0070469
Q03334	GO:0005737,GO:0022626,GO:0022627,GO:0005730
Q0E8K8	GO:0005737,GO:0005634
