A0A0B4JD44	GO:0034976
A1Z6K2	
A1Z7R9	
A1ZBL9	GO:0009948,GO:0019730,GO:0009798,GO:0030709,GO:0007298,GO:0030010,GO:0001737,GO:0007294,GO:0035556,GO:0000226,GO:0090176,GO:0035331,GO:0007314,GO:0009994,GO:0016325,GO:0030707,GO:0045451,GO:0007318,GO:0006468,GO:0030860,GO:0007317,GO:0001932,GO:0051124
B7Z0M0	GO:0006888,GO:0006896,GO:0006891,GO:0006623,GO:0042147,GO:0048280,GO:0016192
C6SUW9	GO:0006355,GO:0006351
O97143	GO:0007099,GO:0007098,GO:0007140,GO:0045732,GO:0046777,GO:0006468,GO:0046599,GO:0031647,GO:0007288,GO:0035186
P04412	GO:0048149,GO:0007298,GO:0098609,GO:0030154,GO:0030031,GO:0030381,GO:0042675,GO:0048749,GO:0001751,GO:0008340,GO:0035225,GO:0048546,GO:0046843,GO:0007391,GO:0007395,GO:0009792,GO:0009880,GO:0007173,GO:0061331,GO:0035088,GO:0007455,GO:0001654,GO:0007390,GO:0030718,GO:0008406,GO:0007482,GO:0003015,GO:0007476,GO:0008586,GO:0007474,GO:0007444,GO:0007479,GO:0035160,GO:0007443,GO:0008071,GO:0002009,GO:0016333,GO:0043066,GO:2001234,GO:0046673,GO:2000134,GO:0010629,GO:0009968,GO:0022008,GO:0035310,GO:0007477,GO:0001742,GO:0008355,GO:0016318,GO:0007309,GO:0007422,GO:0046530,GO:0043703,GO:1903688,GO:0051781,GO:0008284,GO:0070374,GO:0010628,GO:0045572,GO:0042327,GO:0090303,GO:0007431,GO:0016330,GO:0007367,GO:0035277,GO:0048865,GO:0007426,GO:0035309,GO:0007472
P05552	
P23573	GO:0051301,GO:0000082,GO:0000086,GO:0008284,GO:0046427,GO:0006468,GO:0010389
P25007	GO:0006457
P40657	GO:0030154,GO:0022416,GO:0043066,GO:0008285,GO:0045892,GO:0000122,GO:0006355,GO:0035220
P46824	GO:0046843,GO:0007018
Q6AWH2	
Q7JWD6	GO:0007474,GO:0032968,GO:0016567,GO:0006511
Q7K306	GO:0007350,GO:0008283,GO:0007005,GO:0007424,GO:0030307,GO:0046427,GO:1904263,GO:0006468
Q7KJ69	GO:0016567,GO:0006511
